Subject,Start Date,Start Time,End Date,End Time
New York Liberty @ Atlanta Dream,06/29/2021,7:00 PM,06/29/2021,9:00 PM
Connecticut Sun @ Washington Mystics,06/29/2021,7:00 PM,06/29/2021,9:00 PM
Chicago Sky @ Dallas Wings,06/30/2021,8:00 PM,06/30/2021,10:00 PM
Minnesota Lynx @ Phoenix Mercury,06/30/2021,10:00 PM,06/30/2021,12:00 PM
Las Vegas Aces @ Los Angeles Sparks,06/30/2021,10:30 PM,06/30/2021,12:30 PM
Connecticut Sun @ Indiana Fever,07/1/2021,7:00 PM,07/1/2021,9:00 PM
Chicago Sky @ Dallas Wings,07/2/2021,8:00 PM,07/2/2021,10:00 PM
Las Vegas Aces @ Los Angeles Sparks,07/2/2021,10:00 PM,07/2/2021,12:00 PM
Minnesota Lynx @ Phoenix Mercury,07/2/2021,10:00 PM,07/2/2021,12:00 PM
Atlanta Dream @ Seattle Storm,07/2/2021,10:00 PM,07/2/2021,12:00 PM
Connecticut Sun @ Indiana Fever,07/3/2021,1:00 PM,07/3/2021,3:00 PM
Washington Mystics @ New York Liberty,07/3/2021,1:00 PM,07/3/2021,3:00 PM
Atlanta Dream @ Las Vegas Aces,07/4/2021,6:00 PM,07/4/2021,8:00 PM
Seattle Storm @ Los Angeles Sparks,07/4/2021,9:00 PM,07/4/2021,11:00 PM
Dallas Wings @ New York Liberty,07/5/2021,7:00 PM,07/5/2021,9:00 PM
Dallas Wings @ Minnesota Lynx,07/7/2021,8:00 PM,07/7/2021,10:00 PM
Phoenix Mercury @ Las Vegas Aces,07/7/2021,10:00 PM,07/7/2021,12:00 PM
Los Angeles Sparks @ Seattle Storm,07/7/2021,10:00 PM,07/7/2021,12:00 PM
Atlanta Dream @ Connecticut Sun,07/9/2021,7:00 PM,07/9/2021,9:00 PM
New York Liberty @ Indiana Fever,07/9/2021,7:00 PM,07/9/2021,9:00 PM
Seattle Storm @ Phoenix Mercury,07/9/2021,9:00 PM,07/9/2021,11:00 PM
Minnesota Lynx @ Las Vegas Aces,07/9/2021,10:30 PM,07/9/2021,12:30 PM
Washington Mystics @ Chicago Sky,07/10/2021,8:00 PM,07/10/2021,10:00 PM
Las Vegas Aces @ Dallas Wings,07/11/2021,1:00 PM,07/11/2021,3:00 PM
Connecticut Sun @ New York Liberty,07/11/2021,2:00 PM,07/11/2021,4:00 PM
Indiana Fever @ Atlanta Dream,07/11/2021,5:00 PM,07/11/2021,7:00 PM
Phoenix Mercury @ Seattle Storm,07/11/2021,6:00 PM,07/11/2021,8:00 PM
Minnesota Lynx @ Los Angeles Sparks,07/11/2021,9:00 PM,07/11/2021,11:00 PM
Seattle Storm @ Chicago Sky,08/15/2021,1:00 PM,08/15/2021,3:00 PM
Connecticut Sun @ Dallas Wings,08/15/2021,4:00 PM,08/15/2021,6:00 PM
Washington Mystics @ Las Vegas Aces,08/15/2021,6:00 PM,08/15/2021,8:00 PM
Atlanta Dream @ Phoenix Mercury,08/15/2021,6:00 PM,08/15/2021,8:00 PM
